City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
5110365,Broome,US,42.25,-75.83,33.8,69,75,14.99
1849892,Tottori-shi,JP,35.5,134.23,51.1,66,75,6.93
1283285,Jumla,NP,29.27,82.18,56.75,17,2,2.68
1510817,Barzas,RU,55.72,86.32,35.6,64,0,4.47
2439155,Tanout,NE,14.97,8.89,80.65,13,100,9.71
286245,Sur,OM,22.57,59.53,84.31,41,81,7.36
3430863,Mar del Plata,AR,-38.0,-57.56,55.4,82,0,6.93
1855540,Naze,JP,28.37,129.48,71.6,53,75,6.93
3440777,Rocha,UY,-34.48,-54.33,56.73,89,12,1.59
6148373,Sioux Lookout,CA,50.1,-91.92,36.25,64,90,2.24
1855476,Nichinan,JP,31.6,131.37,60.58,59,75,3.36
5955902,Fort Nelson,CA,58.81,-122.7,32.0,89,20,9.17
2181625,Te Anau,NZ,-45.42,167.72,60.12,54,8,8.25
1695546,Pandan,PH,14.05,124.17,81.3,78,57,10.42
2094342,Kavieng,PG,-2.57,150.8,84.43,73,86,7.45
3662927,Pauini,BR,-7.71,-66.98,74.25,91,49,0.83
1525988,Ayagoz,KZ,47.97,80.44,39.85,50,0,15.08
107304,Buraidah,SA,26.33,43.98,64.4,42,24,9.17
2171099,Codrington,AU,-38.27,141.97,56.48,58,85,27.25
60019,Eyl,SO,7.98,49.82,81.46,69,40,9.57
1214488,Meulaboh,ID,4.14,96.13,84.97,68,80,2.93
4499379,Wilmington,US,34.23,-77.94,45.77,61,1,5.48
2108857,Gizo Government Station,SB,-8.1,156.84,83.84,76,75,9.17
2643044,Margate,GB,51.38,1.39,51.12,93,31,9.17
2191562,Dunedin,NZ,-45.87,170.5,57.0,77,0,15.01
515246,Onega,RU,63.91,38.14,27.28,93,100,6.26
3896774,Carahue,CL,-38.7,-73.17,55.4,100,90,2.24
2027296,Aykhal,RU,66.0,111.5,30.2,54,100,11.18
3374083,Bathsheba,BB,13.22,-59.52,78.8,78,40,11.41
3629710,Puerto Ayacucho,VE,5.66,-67.62,75.18,91,99,6.08
2024461,Ekimchan,RU,53.07,132.97,45.3,47,0,2.35
